iter,Gaussian,t(nu=4)
231,0.002337,0.002370
232,0.002336,0.002369
233,0.002336,0.002367
234,0.002335,0.002366
235,0.002335,0.002365
236,0.002335,0.002364
237,0.002334,0.002363
238,0.002334,0.002362
239,0.002333,0.002361
240,0.002333,0.002360
241,0.002332,0.002359
242,0.002332,0.002359
243,0.002331,0.002358
244,0.002331,0.002357
245,0.002331,0.002356
246,0.002330,0.002355
247,0.002330,0.002355
248,0.002329,0.002354
249,0.002329,0.002353
250,0.002329,0.002353
251,0.002328,0.002352
252,0.002328,0.002351
253,0.002328,0.002351
254,0.002327,0.002350
255,0.002327,0.002350
256,0.002327,0.002349
257,0.002327,0.002349
258,0.002326,0.002348
259,0.002326,0.002347
260,0.002326,0.002347
261,0.002326,0.002347
262,0.002326,0.002346
263,0.002326,0.002346
264,0.002325,0.002345
265,0.002325,0.002345
266,0.002325,0.002344
267,0.002325,0.002344
268,0.002325,0.002343
269,0.002325,0.002343
270,0.002325,0.002343
271,0.002325,0.002342
272,0.002325,0.002342
273,0.002325,0.002342
274,0.002325,0.002341
275,0.002325,0.002341
276,0.002325,0.002340
277,0.002325,0.002340
278,0.002325,0.002340
279,0.002325,0.002339
280,0.002325,0.002339
281,0.002325,0.002339
282,0.002325,0.002339
283,0.002326,0.002338
284,0.002326,0.002338
285,0.002326,0.002338
286,0.002326,0.002337
287,0.002326,0.002337
288,0.002326,0.002337
289,0.002326,0.002336
290,0.002326,0.002336
291,0.002327,0.002336
292,0.002327,0.002336
293,0.002327,0.002335
294,0.002327,0.002335
295,0.002327,0.002335
296,0.002327,0.002335
297,0.002327,0.002334
298,0.002328,0.002334
299,0.002328,0.002334
300,0.002328,0.002334
301,0.002328,0.002333
302,0.002328,0.002333
303,0.002328,0.002333
304,0.002329,0.002333
305,0.002329,0.002332
306,0.002329,0.002332
307,0.002329,0.002332
308,0.002329,0.002332
309,0.002329,0.002332
310,0.002330,0.002331
311,0.002330,0.002331
312,0.002330,0.002331
313,0.002330,0.002331
314,0.002330,0.002331
315,0.002331,0.002330
316,0.002331,0.002330
317,0.002331,0.002330
318,0.002331,0.002330
319,0.002331,0.002330
320,0.002331,0.002330
321,0.002332,0.002329
322,0.002332,0.002329
323,0.002332,0.002329
324,0.002332,0.002329
325,0.002332,0.002329
326,0.002333,0.002329
327,0.002333,0.002329
328,0.002333,0.002328
329,0.002333,0.002328
330,0.002333,0.002328
331,0.002333,0.002328
332,0.002334,0.002328
333,0.002334,0.002328
334,0.002334,0.002328
335,0.002334,0.002327
336,0.002334,0.002327
337,0.002335,0.002327
338,0.002335,0.002327
339,0.002335,0.002327
340,0.002335,0.002327
341,0.002335,0.002327
342,0.002336,0.002327
343,0.002336,0.002327
344,0.002336,0.002327
345,0.002336,0.002326
346,0.002337,0.002326
347,0.002337,0.002326
348,0.002337,0.002326
349,0.002337,0.002326
350,0.002337,0.002326
351,0.002338,0.002326
352,0.002338,0.002326
353,0.002338,0.002326
354,0.002338,0.002326
355,0.002339,0.002326
356,0.002339,0.002326
357,0.002339,0.002326
358,0.002339,0.002326
359,0.002340,0.002326
360,0.002340,0.002325
361,0.002340,0.002325
362,0.002340,0.002325
363,0.002341,0.002325
364,0.002341,0.002325
365,0.002341,0.002325
366,0.002341,0.002325
367,0.002342,0.002325
368,0.002342,0.002325
369,0.002342,0.002325
370,0.002342,0.002325
371,0.002343,0.002325
372,0.002343,0.002325
373,0.002343,0.002325
374,0.002343,0.002325
375,0.002344,0.002325
376,0.002344,0.002325
377,0.002344,0.002325
378,0.002345,0.002325
379,0.002345,0.002325
380,0.002345,0.002325
381,0.002345,0.002325
382,0.002346,0.002325
383,0.002346,0.002325
384,0.002346,0.002325
385,0.002347,0.002325
386,0.002347,0.002326
387,0.002347,0.002326
388,0.002348,0.002326
389,0.002348,0.002326
390,0.002348,0.002326
391,0.002348,0.002326
392,0.002349,0.002326
393,0.002349,0.002326
394,0.002349,0.002326
395,0.002350,0.002326
396,0.002350,0.002326
397,0.002350,0.002326
398,0.002351,0.002326
399,0.002351,0.002327
400,0.002351,0.002327
401,0.002352,0.002327
402,0.002352,0.002327
403,0.002352,0.002327
404,0.002353,0.002327
405,0.002353,0.002327
406,0.002353,0.002327
407,0.002354,0.002328
408,0.002354,0.002328
409,0.002354,0.002328
410,0.002355,0.002328
411,0.002355,0.002328
412,0.002355,0.002328
413,0.002356,0.002328
414,0.002356,0.002328
415,0.002357,0.002329
416,0.002357,0.002329
417,0.002357,0.002329
418,0.002358,0.002329
419,0.002358,0.002329
420,0.002358,0.002329
421,0.002359,0.002330
422,0.002359,0.002330
423,0.002359,0.002330
424,0.002360,0.002330
425,0.002360,0.002330
426,0.002361,0.002330
427,0.002361,0.002331
428,0.002361,0.002331
429,0.002362,0.002331
430,0.002362,0.002331
431,0.002362,0.002331
432,0.002363,0.002331
433,0.002363,0.002332
434,0.002363,0.002332
435,0.002364,0.002332
436,0.002364,0.002332
437,0.002365,0.002332
438,0.002365,0.002332
439,0.002365,0.002333
440,0.002366,0.002333
441,0.002366,0.002333
442,0.002367,0.002333
443,0.002367,0.002333
444,0.002367,0.002334
445,0.002368,0.002334
446,0.002368,0.002334
447,0.002368,0.002334
448,0.002369,0.002334
449,0.002369,0.002334
450,0.002370,0.002335
451,0.002370,0.002335
452,0.002370,0.002335
453,0.002371,0.002335
454,0.002371,0.002335
455,0.002371,0.002336
456,0.002372,0.002336
457,0.002372,0.002336
458,0.002373,0.002336
459,0.002373,0.002336
460,0.002373,0.002336
461,0.002374,0.002337
462,0.002374,0.002337
463,0.002374,0.002337
464,0.002375,0.002337
465,0.002375,0.002337
466,0.002376,0.002337
467,0.002376,0.002338
468,0.002376,0.002338
469,0.002377,0.002338
470,0.002377,0.002338
471,0.002378,0.002338
472,0.002378,0.002339
473,0.002378,0.002339
474,0.002379,0.002339
475,0.002379,0.002339
476,0.002379,0.002339
477,0.002380,0.002339
478,0.002380,0.002340
479,0.002381,0.002340
480,0.002381,0.002340
481,0.002381,0.002340
482,0.002382,0.002340
483,0.002382,0.002340
484,0.002382,0.002341
485,0.002383,0.002341
486,0.002383,0.002341
487,0.002384,0.002341
488,0.002384,0.002341
489,0.002384,0.002341
490,0.002385,0.002342
491,0.002385,0.002342
492,0.002385,0.002342
493,0.002386,0.002342
494,0.002386,0.002342
495,0.002387,0.002342
496,0.002387,0.002343
497,0.002387,0.002343
498,0.002388,0.002343
499,0.002388,0.002343
500,0.002388,0.002343
501,0.002389,0.002343
502,0.002389,0.002344
503,0.002390,0.002344
504,0.002390,0.002344
505,0.002390,0.002344
506,0.002391,0.002344
507,0.002391,0.002344
508,0.002391,0.002345
509,0.002392,0.002345
510,0.002392,0.002345
511,0.002393,0.002345
512,0.002393,0.002345
513,0.002393,0.002345
514,0.002394,0.002346
515,0.002394,0.002346
516,0.002395,0.002346
517,0.002395,0.002346
518,0.002395,0.002346
519,0.002396,0.002346
520,0.002396,0.002347
521,0.002396,0.002347
522,0.002397,0.002347
523,0.002397,0.002347
524,0.002398,0.002347
525,0.002398,0.002347
526,0.002398,0.002348
527,0.002399,0.002348
528,0.002399,0.002348
529,0.002400,0.002348
530,0.002400,0.002348
531,0.002400,0.002348
532,0.002401,0.002349
533,0.002401,0.002349
534,0.002401,0.002349
535,0.002402,0.002349
536,0.002402,0.002349
537,0.002403,0.002350
538,0.002403,0.002350
539,0.002403,0.002350
540,0.002404,0.002350
541,0.002404,0.002350
542,0.002405,0.002350
543,0.002405,0.002351
544,0.002405,0.002351
545,0.002406,0.002351
546,0.002406,0.002351
547,0.002407,0.002351
548,0.002407,0.002351
549,0.002407,0.002352
550,0.002408,0.002352
551,0.002408,0.002352
552,0.002409,0.002352
553,0.002409,0.002352
554,0.002409,0.002353
555,0.002410,0.002353
556,0.002410,0.002353
557,0.002410,0.002353
558,0.002411,0.002353
559,0.002411,0.002354
560,0.002412,0.002354
561,0.002412,0.002354
562,0.002412,0.002354
563,0.002413,0.002354
564,0.002413,0.002354
565,0.002414,0.002355
566,0.002414,0.002355
567,0.002414,0.002355
568,0.002415,0.002355
569,0.002415,0.002355
570,0.002416,0.002356
571,0.002416,0.002356
572,0.002416,0.002356
573,0.002417,0.002356
574,0.002417,0.002356
575,0.002418,0.002357
576,0.002418,0.002357
577,0.002418,0.002357
578,0.002419,0.002357
579,0.002419,0.002357
580,0.002420,0.002357
581,0.002420,0.002358
582,0.002420,0.002358
583,0.002421,0.002358
584,0.002421,0.002358
585,0.002422,0.002358
586,0.002422,0.002359
587,0.002422,0.002359
588,0.002423,0.002359
589,0.002423,0.002359
590,0.002424,0.002359
591,0.002424,0.002360
592,0.002424,0.002360
593,0.002425,0.002360
594,0.002425,0.002360
595,0.002426,0.002360
596,0.002426,0.002361
597,0.002426,0.002361
598,0.002427,0.002361
599,0.002427,0.002361
600,0.002428,0.002361
601,0.002428,0.002362
602,0.002428,0.002362
603,0.002429,0.002362
604,0.002429,0.002362
605,0.002430,0.002362
606,0.002430,0.002363
607,0.002430,0.002363
608,0.002431,0.002363
609,0.002431,0.002363
610,0.002432,0.002363
611,0.002432,0.002364
612,0.002432,0.002364
613,0.002433,0.002364
614,0.002433,0.002364
615,0.002434,0.002364
616,0.002434,0.002364
617,0.002434,0.002365
618,0.002435,0.002365
619,0.002435,0.002365
620,0.002436,0.002365
621,0.002436,0.002365
622,0.002436,0.002366
623,0.002437,0.002366
624,0.002437,0.002366
625,0.002438,0.002366
626,0.002438,0.002366
627,0.002438,0.002367
628,0.002439,0.002367
629,0.002439,0.002367
630,0.002440,0.002367
631,0.002440,0.002367
632,0.002440,0.002368
633,0.002441,0.002368
634,0.002441,0.002368
635,0.002442,0.002368
636,0.002442,0.002368
637,0.002442,0.002369
638,0.002443,0.002369
639,0.002443,0.002369
640,0.002444,0.002369
641,0.002444,0.002369
642,0.002444,0.002370
643,0.002445,0.002370
644,0.002445,0.002370
645,0.002446,0.002370
646,0.002446,0.002370
647,0.002446,0.002371
648,0.002447,0.002371
649,0.002447,0.002371
650,0.002448,0.002371
651,0.002448,0.002371
652,0.002449,0.002372
653,0.002449,0.002372
654,0.002449,0.002372
655,0.002450,0.002372
656,0.002450,0.002372
657,0.002451,0.002373
658,0.002451,0.002373
659,0.002451,0.002373
660,0.002452,0.002373
661,0.002452,0.002373
662,0.002453,0.002374
663,0.002453,0.002374
664,0.002453,0.002374
665,0.002454,0.002374
666,0.002454,0.002374
667,0.002455,0.002375
668,0.002455,0.002375
669,0.002455,0.002375
670,0.002456,0.002375
671,0.002456,0.002375
672,0.002457,0.002375
673,0.002457,0.002376
674,0.002457,0.002376
675,0.002458,0.002376
676,0.002458,0.002376
677,0.002459,0.002376
678,0.002459,0.002377
679,0.002459,0.002377
680,0.002460,0.002377
681,0.002460,0.002377
682,0.002461,0.002377
683,0.002461,0.002378
684,0.002461,0.002378
685,0.002462,0.002378
686,0.002462,0.002378
687,0.002463,0.002378
688,0.002463,0.002379
689,0.002463,0.002379
690,0.002464,0.002379
691,0.002464,0.002379
692,0.002465,0.002379
693,0.002465,0.002380
694,0.002466,0.002380
695,0.002466,0.002380
696,0.002466,0.002380
697,0.002467,0.002380
698,0.002467,0.002381
699,0.002468,0.002381
700,0.002468,0.002381
701,0.002468,0.002381
702,0.002469,0.002381
703,0.002469,0.002382
704,0.002470,0.002382
705,0.002470,0.002382
706,0.002470,0.002382
707,0.002471,0.002382
708,0.002471,0.002383
709,0.002472,0.002383
710,0.002472,0.002383
711,0.002472,0.002383
712,0.002473,0.002383
713,0.002473,0.002384
714,0.002474,0.002384
715,0.002474,0.002384
716,0.002474,0.002384
717,0.002475,0.002384
718,0.002475,0.002385
719,0.002476,0.002385
720,0.002476,0.002385
721,0.002477,0.002385
722,0.002477,0.002385
723,0.002477,0.002386
724,0.002478,0.002386
725,0.002478,0.002386
726,0.002479,0.002386
727,0.002479,0.002386
728,0.002479,0.002387
729,0.002480,0.002387
730,0.002480,0.002387
731,0.002481,0.002387
732,0.002481,0.002387
733,0.002481,0.002388
734,0.002482,0.002388
735,0.002482,0.002388
736,0.002483,0.002388
737,0.002483,0.002388
738,0.002484,0.002389
739,0.002484,0.002389
740,0.002484,0.002389
741,0.002485,0.002389
742,0.002485,0.002389
743,0.002486,0.002390
744,0.002486,0.002390
745,0.002486,0.002390
746,0.002487,0.002390
747,0.002487,0.002390
748,0.002488,0.002391
749,0.002488,0.002391
750,0.002488,0.002391
751,0.002489,0.002391
752,0.002489,0.002391
753,0.002490,0.002392
754,0.002490,0.002392
755,0.002490,0.002392
756,0.002491,0.002392
757,0.002491,0.002392
758,0.002492,0.002393
759,0.002492,0.002393
760,0.002493,0.002393
761,0.002493,0.002393
762,0.002493,0.002393
763,0.002494,0.002394
764,0.002494,0.002394
765,0.002495,0.002394
766,0.002495,0.002394
767,0.002495,0.002394
768,0.002496,0.002395
769,0.002496,0.002395
770,0.002497,0.002395
771,0.002497,0.002395
772,0.002497,0.002395
773,0.002498,0.002396
774,0.002498,0.002396
775,0.002499,0.002396
776,0.002499,0.002396
777,0.002499,0.002396
778,0.002500,0.002397
779,0.002500,0.002397
780,0.002501,0.002397
781,0.002501,0.002397
782,0.002501,0.002397
783,0.002502,0.002398
784,0.002502,0.002398
785,0.002503,0.002398
786,0.002503,0.002398
787,0.002504,0.002398
788,0.002504,0.002399
789,0.002504,0.002399
